example,method,time,dofs,l2_error_phi,l2_error_mu,total_solve_seconds,total_transfer_seconds,total_training_seconds
1,Classical,0.05,19158,0.0012891381,0.0306536909,6.32944285,0.12915586,0.0
1,NN transfer,0.05,19158,0.00141741324,0.0302393418,1.45979897,65.3707557,65.24829237
2,Classical,0.05,2462,0.115882538,1.14213824,0.42909199000000003,0.012382289999999999,0.0
2,NN transfer,0.05,2486,0.112835914,1.0961951,0.38765943999999997,18.44492004,18.429873
